date,ticker,price
2024-01-01,AAPL,150.7156469461853
2024-01-02,AAPL,151.10622447723145
2024-01-03,AAPL,150.21897634795627
2024-01-04,AAPL,150.47464378065973
2024-01-05,AAPL,150.25709542937744
2024-01-06,AAPL,152.01816270096114
2024-01-07,AAPL,152.73406028116523
2024-01-08,AAPL,151.7187616992685
2024-01-09,AAPL,152.71947609379896
2024-01-10,AAPL,151.89365912260735
2024-01-11,AAPL,152.27077364874833
2024-01-12,AAPL,153.85278423678756
2024-01-13,AAPL,154.56104969660353
2024-01-14,AAPL,155.2993005055339
2024-01-15,AAPL,154.77801684119297
2024-01-16,AAPL,152.00227491617852
2024-01-17,AAPL,153.38886170472063
2024-01-18,AAPL,155.7275635662213
2024-01-19,AAPL,153.55305171833072
2024-01-20,AAPL,153.82450166034533
