date,ticker,price
2024-01-01,AAPL,150.33316271168917
2024-01-02,AAPL,150.257576674105
2024-01-03,AAPL,150.03061749177343
2024-01-04,AAPL,150.0423149489574
2024-01-05,AAPL,148.63972849620896
2024-01-06,AAPL,150.03312403471676
2024-01-07,AAPL,148.87211547719394
2024-01-08,AAPL,147.49295275836272
2024-01-09,AAPL,147.80539280782818
2024-01-10,AAPL,147.74458762010352
2024-01-11,AAPL,147.34804015489084
2024-01-12,AAPL,147.2607460033196
2024-01-13,AAPL,148.59797245683546
2024-01-14,AAPL,148.1043587508552
2024-01-15,AAPL,148.79372990936972
2024-01-16,AAPL,147.920743146669
2024-01-17,AAPL,146.22472639313472
2024-01-18,AAPL,147.32558328975676
2024-01-19,AAPL,146.12925900861515
2024-01-20,AAPL,147.44840999775346
