date,ticker,price
2024-01-01,AAPL,149.098463257064
2024-01-02,AAPL,150.30480393768582
2024-01-03,AAPL,150.0143379146133
2024-01-04,AAPL,148.48490753197152
2024-01-05,AAPL,149.03897083371754
2024-01-06,AAPL,149.19253134272637
2024-01-07,AAPL,148.794453182476
2024-01-08,AAPL,149.23574031965785
2024-01-09,AAPL,150.25748407875403
2024-01-10,AAPL,150.13000717004564
2024-01-11,AAPL,150.2755589989752
2024-01-12,AAPL,151.48948072072386
2024-01-13,AAPL,150.84331681522227
2024-01-14,AAPL,151.47989718559188
2024-01-15,AAPL,151.14652627744937
2024-01-16,AAPL,150.42806921697428
2024-01-17,AAPL,150.79791890342042
2024-01-18,AAPL,151.5903261167942
2024-01-19,AAPL,151.2224420528968
2024-01-20,AAPL,152.18759552937874
